13.667233% e = 40, h_n = 7, thres = 0.900000, l_r = 0.200000
14.176570% e = 40, h_n = 7, thres = 0.900000, l_r = 0.250000
35.738540% e = 40, h_n = 7, thres = 0.900000, l_r = 0.300000
88.030560% e = 40, h_n = 15, thres = 0.100000, l_r = 0.050000
90.577250% e = 40, h_n = 15, thres = 0.100000, l_r = 0.100000
89.813243% e = 40, h_n = 15, thres = 0.100000, l_r = 0.150000
90.152801% e = 40, h_n = 15, thres = 0.100000, l_r = 0.200000
92.529711% e = 40, h_n = 15, thres = 0.100000, l_r = 0.250000
90.662139% e = 40, h_n = 15, thres = 0.100000, l_r = 0.300000
89.473684% e = 40, h_n = 15, thres = 0.500000, l_r = 0.050000
89.303905% e = 40, h_n = 15, thres = 0.500000, l_r = 0.100000
89.643463% e = 40, h_n = 15, thres = 0.500000, l_r = 0.150000
89.473684% e = 40, h_n = 15, thres = 0.500000, l_r = 0.200000
89.219015% e = 40, h_n = 15, thres = 0.500000, l_r = 0.250000
90.747029% e = 40, h_n = 15, thres = 0.500000, l_r = 0.300000
14.516129% e = 40, h_n = 15, thres = 0.900000, l_r = 0.050000
12.988115% e = 40, h_n = 15, thres = 0.900000, l_r = 0.100000
12.733447% e = 40, h_n = 15, thres = 0.900000, l_r = 0.150000
12.988115% e = 40, h_n = 15, thres = 0.900000, l_r = 0.200000
15.025467% e = 40, h_n = 15, thres = 0.900000, l_r = 0.250000
18.081494% e = 40, h_n = 15, thres = 0.900000, l_r = 0.300000
92.359932% e = 40, h_n = 23, thres = 0.100000, l_r = 0.050000
91.171477% e = 40, h_n = 23, thres = 0.100000, l_r = 0.100000
88.285229% e = 40, h_n = 23, thres = 0.100000, l_r = 0.150000
91.001698% e = 40, h_n = 23, thres = 0.100000, l_r = 0.200000
87.266553% e = 40, h_n = 23, thres = 0.100000, l_r = 0.250000
88.879457% e = 40, h_n = 23, thres = 0.100000, l_r = 0.300000
15.195246% e = 40, h_n = 23, thres = 0.500000, l_r = 0.050000
13.667233% e = 40, h_n = 23, thres = 0.500000, l_r = 0.100000
9.422750% e = 40, h_n = 23, thres = 0.500000, l_r = 0.150000
89.219015% e = 40, h_n = 23, thres = 0.500000, l_r = 0.200000
89.134126% e = 40, h_n = 23, thres = 0.500000, l_r = 0.250000
88.879457% e = 40, h_n = 23, thres = 0.500000, l_r = 0.300000
14.261460% e = 40, h_n = 23, thres = 0.900000, l_r = 0.050000
14.261460% e = 40, h_n = 23, thres = 0.900000, l_r = 0.100000
14.770798% e = 40, h_n = 23, thres = 0.900000, l_r = 0.150000
15.195246% e = 40, h_n = 23, thres = 0.900000, l_r = 0.200000
14.940577% e = 40, h_n = 23, thres = 0.900000, l_r = 0.250000
15.025467% e = 40, h_n = 23, thres = 0.900000, l_r = 0.300000
90.577250% e = 50, h_n = 7, thres = 0.100000, l_r = 0.050000
90.577250% e = 50, h_n = 7, thres = 0.100000, l_r = 0.100000
90.916808% e = 50, h_n = 7, thres = 0.100000, l_r = 0.150000
86.332767% e = 50, h_n = 7, thres = 0.100000, l_r = 0.200000
91.765705% e = 50, h_n = 7, thres = 0.100000, l_r = 0.250000
86.672326% e = 50, h_n = 7, thres = 0.100000, l_r = 0.300000
92.954160% e = 50, h_n = 7, thres = 0.500000, l_r = 0.050000
91.511036% e = 50, h_n = 7, thres = 0.500000, l_r = 0.100000
89.898132% e = 50, h_n = 7, thres = 0.500000, l_r = 0.150000
91.341256% e = 50, h_n = 7, thres = 0.500000, l_r = 0.200000
91.511036% e = 50, h_n = 7, thres = 0.500000, l_r = 0.250000
91.680815% e = 50, h_n = 7, thres = 0.500000, l_r = 0.300000
15.025467% e = 50, h_n = 7, thres = 0.900000, l_r = 0.050000
14.940577% e = 50, h_n = 7, thres = 0.900000, l_r = 0.100000
15.195246% e = 50, h_n = 7, thres = 0.900000, l_r = 0.150000
14.431239% e = 50, h_n = 7, thres = 0.900000, l_r = 0.200000
14.176570% e = 50, h_n = 7, thres = 0.900000, l_r = 0.250000
15.195246% e = 50, h_n = 7, thres = 0.900000, l_r = 0.300000
91.850594% e = 50, h_n = 15, thres = 0.100000, l_r = 0.050000
89.303905% e = 50, h_n = 15, thres = 0.100000, l_r = 0.100000
89.219015% e = 50, h_n = 15, thres = 0.100000, l_r = 0.150000
79.371817% e = 50, h_n = 15, thres = 0.100000, l_r = 0.200000
82.597623% e = 50, h_n = 15, thres = 0.100000, l_r = 0.250000
92.105263% e = 50, h_n = 15, thres = 0.100000, l_r = 0.300000
90.322581% e = 50, h_n = 15, thres = 0.500000, l_r = 0.050000
89.303905% e = 50, h_n = 15, thres = 0.500000, l_r = 0.100000
88.709677% e = 50, h_n = 15, thres = 0.500000, l_r = 0.150000
88.879457% e = 50, h_n = 15, thres = 0.500000, l_r = 0.200000
87.945671% e = 50, h_n = 15, thres = 0.500000, l_r = 0.250000
90.492360% e = 50, h_n = 15, thres = 0.500000, l_r = 0.300000
14.516129% e = 50, h_n = 15, thres = 0.900000, l_r = 0.050000
15.025467% e = 50, h_n = 15, thres = 0.900000, l_r = 0.100000
14.346350% e = 50, h_n = 15, thres = 0.900000, l_r = 0.150000
15.195246% e = 50, h_n = 15, thres = 0.900000, l_r = 0.200000
13.667233% e = 50, h_n = 15, thres = 0.900000, l_r = 0.250000
14.091681% e = 50, h_n = 15, thres = 0.900000, l_r = 0.300000
92.529711% e = 50, h_n = 23, thres = 0.100000, l_r = 0.050000
92.190153% e = 50, h_n = 23, thres = 0.100000, l_r = 0.100000
89.643463% e = 50, h_n = 23, thres = 0.100000, l_r = 0.150000
87.181664% e = 50, h_n = 23, thres = 0.100000, l_r = 0.200000
88.285229% e = 50, h_n = 23, thres = 0.100000, l_r = 0.250000
86.247878% e = 50, h_n = 23, thres = 0.100000, l_r = 0.300000
10.016978% e = 50, h_n = 23, thres = 0.500000, l_r = 0.050000
19.609508% e = 50, h_n = 23, thres = 0.500000, l_r = 0.100000
84.465195% e = 50, h_n = 23, thres = 0.500000, l_r = 0.150000
12.988115% e = 50, h_n = 23, thres = 0.500000, l_r = 0.200000
88.879457% e = 50, h_n = 23, thres = 0.500000, l_r = 0.250000
87.351443% e = 50, h_n = 23, thres = 0.500000, l_r = 0.300000
15.025467% e = 50, h_n = 23, thres = 0.900000, l_r = 0.050000
15.025467% e = 50, h_n = 23, thres = 0.900000, l_r = 0.100000
12.988115% e = 50, h_n = 23, thres = 0.900000, l_r = 0.150000
12.988115% e = 50, h_n = 23, thres = 0.900000, l_r = 0.200000
14.176570% e = 50, h_n = 23, thres = 0.900000, l_r = 0.250000
13.667233% e = 50, h_n = 23, thres = 0.900000, l_r = 0.300000
